Date,BRL,EGP,TRY
2018-01-01,3.3076000213623047,17.750999450683594,3.7948999404907227
2018-01-02,3.311000108718872,17.731000900268555,3.791100025177002
2018-01-03,3.2578001022338867,17.711999893188477,3.7655999660491943
2018-01-04,3.2355000972747803,17.68199920654297,3.780600070953369
2018-01-05,3.233099937438965,17.681499481201172,3.750269889831543
2018-01-08,3.226599931716919,17.66950035095215,3.7323501110076904
2018-01-09,3.239000082015991,17.63599967956543,3.7439000606536865
2018-01-10,3.246799945831299,17.64900016784668,3.7684199810028076
2018-01-11,3.2263998985290527,17.684999465942383,3.7987000942230225
2018-01-12,3.214200019836426,17.674999237060547,3.773550033569336
2018-01-15,3.200700044631958,17.667499542236328,3.7515599727630615
2018-01-16,3.213200092315674,17.70050048828125,3.7999699115753174
2018-01-17,3.2227001190185547,17.70050048828125,3.7986700534820557
2018-01-18,3.2221999168395996,17.68899917602539,3.8151700496673584
2018-01-19,3.2051000595092773,17.695499420166016,3.7654800415039062
2018-01-22,3.194700002670288,17.635499954223633,3.823230028152466
2018-01-23,3.200700044631958,17.681499481201172,3.7764999866485596
2018-01-24,3.2355000972747803,17.69700050354004,3.768199920654297
2018-01-25,3.1451001167297363,17.661500930786133,3.7493999004364014
2018-01-26,3.146899938583374,17.659500122070312,3.7596800327301025
2018-01-29,3.1510000228881836,17.652000427246094,3.7499799728393555
2018-01-30,3.153599977493286,17.64699935913086,3.786400079727173
2018-01-31,3.179500102996826,17.61400032043457,3.7757198810577393
2018-02-01,3.1847000122070312,17.652999877929688,3.7562999725341797
2018-02-02,3.1637001037597656,17.624000549316406,3.7337000370025635
2018-02-05,3.215399980545044,17.643999099731445,3.771899938583374
2018-02-06,3.2611000537872314,17.63800048828125,3.7867000102996826
2018-02-07,3.2334001064300537,17.621000289916992,3.764709949493408
2018-02-08,3.26990008354187,17.645000457763672,3.802500009536743
2018-02-09,3.284600019454956,17.6564998626709,3.822619915008545
2018-02-12,3.290800094604492,17.6299991607666,3.8167500495910645
2018-02-13,3.2939999103546143,17.686500549316406,3.7976601123809814
2018-02-14,3.2941999435424805,17.677000045776367,3.804800033569336
2018-02-15,3.216200113296509,17.68400001525879,3.7797300815582275
2018-02-16,3.2263998985290527,17.621000289916992,3.7646000385284424
2018-02-19,3.2281999588012695,17.613000869750977,3.74685001373291
2018-02-20,3.233099937438965,17.62299919128418,3.7581899166107178
2018-02-21,3.254300117492676,17.684999465942383,3.797800064086914
2018-02-22,3.2676000595092773,17.670000076293945,3.7918601036071777
2018-02-23,3.248699903488159,17.660499572753906,3.782399892807007
2018-02-26,3.2372000217437744,17.680999755859375,3.787839889526367
2018-02-27,3.2225000858306885,17.63050079345703,3.7850899696350098
2018-02-28,3.248500108718872,17.613500595092773,3.815200090408325
2018-03-01,3.244800090789795,17.631500244140625,3.8029000759124756
2018-03-02,3.25,17.61199951171875,3.8076999187469482
2018-03-05,3.2495999336242676,17.617000579833984,3.8101000785827637
2018-03-06,3.240999937057495,17.599000930786133,3.8106000423431396
2018-03-07,3.2079999446868896,17.604000091552734,3.798799991607666
2018-03-08,3.2428998947143555,17.61199951171875,3.8062899112701416
2018-03-09,3.2660999298095703,17.58799934387207,3.823499917984009
2018-03-12,3.2560999393463135,17.59000015258789,3.812000036239624
2018-03-13,3.2602999210357666,17.59749984741211,3.8427000045776367
2018-03-14,3.258699893951416,17.603500366210938,3.8698999881744385
2018-03-15,3.258500099182129,17.604999542236328,3.8803000450134277
2018-03-16,3.282099962234497,17.58300018310547,3.8935399055480957
2018-03-19,3.280100107192993,17.56599998474121,3.918299913406372
2018-03-20,3.28410005569458,17.60300064086914,3.9432899951934814
2018-03-21,3.3087000846862793,17.59749984741211,3.932149887084961
2018-03-22,3.272700071334839,17.598499298095703,3.9087700843811035
2018-03-23,3.3141000270843506,17.600500106811523,3.9738800525665283
2018-03-26,3.314500093460083,17.604000091552734,3.9814000129699707
2018-03-27,3.31030011177063,17.62299919128418,3.9655001163482666
2018-03-28,3.3229000568389893,17.610000610351562,3.979180097579956
2018-03-29,3.3192999362945557,17.61549949645996,4.013299942016602
2018-03-30,3.303499937057495,17.600500106811523,3.9449000358581543
2018-04-02,3.302000045776367,17.582000732421875,3.9518399238586426
2018-04-03,3.3094000816345215,17.579999923706055,3.977099895477295
2018-04-04,3.339400053024292,17.569499969482422,3.9893500804901123
2018-04-05,3.327699899673462,17.659500122070312,3.999109983444214
2018-04-06,3.341599941253662,17.659500122070312,4.03941011428833
2018-04-09,3.367500066757202,17.667999267578125,4.047100067138672
2018-04-10,3.4210000038146973,17.652999877929688,4.075500011444092
2018-04-11,3.4072999954223633,17.650999069213867,4.1095499992370605
2018-04-12,3.3731000423431396,17.621000289916992,4.1407999992370605
2018-04-13,3.4110000133514404,17.579999923706055,4.114019870758057
2018-04-16,3.424299955368042,17.58799934387207,4.090789794921875
2018-04-17,3.416100025177002,17.670000076293945,4.0929999351501465
2018-04-18,3.4058001041412354,17.687999725341797,4.093090057373047
2018-04-19,3.3770999908447266,17.672000885009766,4.017000198364258
2018-04-20,3.382699966430664,17.648000717163086,4.045820236206055
2018-04-23,3.4137001037597656,17.704500198364258,4.078499794006348
2018-04-24,3.448899984359741,17.65850067138672,4.107699871063232
2018-04-25,3.4714999198913574,17.671499252319336,4.086480140686035
2018-04-26,3.4809000492095947,17.68400001525879,4.081099987030029
2018-04-27,3.4742000102996826,17.664499282836914,4.0658698081970215
2018-04-30,3.4581000804901123,17.68899917602539,4.051660060882568
2018-05-01,3.5058000087738037,17.624500274658203,4.056650161743164
